Contact	Overhead
32000	94.55
64000	95.07459677419355
10500	89.0327868852459
42500	91.85285285285285
21000	96.14084507042253
53000	94.54368932038835
31500	94.55
63500	95.07459677419355
10000	89.0327868852459
42000	91.85285285285285
20500	96.14084507042253
52500	94.54368932038835
31000	94.55
63000	95.15132924335379
9500	89.0327868852459
41500	91.85285285285285
20000	96.14084507042253
52000	93.09708737864078
30500	94.55
62500	95.68510638297872
9000	89.0327868852459
41000	92.11949685534591
19500	96.14084507042253
51500	93.8695652173913
30000	95.80269058295964
62000	96.01508620689656
8500	89.67796610169492
40500	93.50498338870432
19000	94.56818181818181
51000	94.4921875
29500	93.21698113207547
61500	96.01508620689656
8000	84.78260869565217
40000	93.31333333333333
18500	84.96875
50500	94.4921875
29000	92.92380952380952
61000	96.01508620689656
7500	84.0625
39500	93.31333333333333
18000	90.96610169491525
50000	94.4921875
28500	92.92380952380952
60500	96.01508620689656
7000	82.4375
39000	93.31333333333333
17500	90.96610169491525
49500	94.4921875
28000	92.92380952380952
60000	96.01508620689656
6500	82.4375
38500	93.31333333333333
17000	90.96610169491525
49000	94.4921875
27500	92.92380952380952
59500	95.34698275862068
6000	82.4375
38000	93.31333333333333
16500	90.96610169491525
48500	93.13020833333333
27000	92.92380952380952
59000	97.37844036697248
5500	82.4375
37500	92.39189189189189
16000	90.96610169491525
48000	93.32970027247957
26500	91.57142857142857
58500	95.21330275229357
5000	82.4375
37000	92.66308243727599
15500	90.10909090909091
47500	94.84550561797752
26000	96.78735632183908
58000	95.17660550458716
4500	72.52631578947368
36500	93.55677655677655
15000	95.65168539325843
47000	94.84550561797752
25500	95.34682080924856
57500	95.17660550458716
4000	NaN
36000	93.55677655677655
14500	92.49438202247191
46500	94.84550561797752
25000	95.34682080924856
57000	95.17660550458716
3500	NaN
35500	93.55677655677655
14000	92.49438202247191
46000	94.84550561797752
24500	95.34682080924856
56500	95.17660550458716
3000	NaN
35000	93.55677655677655
13500	92.49438202247191
45500	94.84550561797752
24000	95.34682080924856
56000	95.17660550458716
2500	NaN
34500	93.55677655677655
13000	92.49438202247191
45000	94.07022471910112
23500	95.34682080924856
55500	93.7423887587822
2000	NaN
34000	94.40671641791045
12500	92.49438202247191
44500	92.00291545189505
23000	93.19653179190752
55000	94.70388349514563
1500	NaN
33500	96.72839506172839
65500	95.07459677419355
12000	85.50561797752809
44000	91.94594594594595
22500	94.09740259740259
54500	94.54368932038835
1000	NaN
33000	94.63333333333334
65000	95.07459677419355
11500	88.30882352941177
43500	91.85285285285285
22000	96.45774647887323
54000	94.54368932038835
500	NaN
32500	94.55
64500	95.07459677419355
11000	89.0327868852459
43000	91.85285285285285
21500	96.14084507042253
53500	94.54368932038835

