Contact	NrofDelivered
32000	58.55263157894737
64000	58.204334365325074
10500	63.1578947368421
42500	60.526315789473685
21000	61.578947368421055
53000	59.3984962406015
31500	58.55263157894737
63500	58.204334365325074
10000	63.1578947368421
42000	60.526315789473685
20500	61.578947368421055
52500	59.3984962406015
31000	58.55263157894737
63000	57.73993808049536
9500	63.1578947368421
41500	60.526315789473685
20000	61.578947368421055
52000	59.210526315789465
30500	58.55263157894737
62500	55.417956656346746
9000	63.1578947368421
41000	58.133971291866025
19500	61.578947368421055
51500	56.390977443609025
30000	55.92105263157895
62000	58.223684210526315
8500	60.526315789473685
40500	54.54545454545454
19000	58.42105263157895
51000	59.716599190283404
29500	54.60526315789473
61500	58.223684210526315
8000	40.78947368421053
40000	59.73684210526316
18500	56.315789473684205
50500	59.716599190283404
29000	61.65413533834586
61000	58.223684210526315
7500	30.263157894736842
39500	59.73684210526316
18000	65.13157894736842
50000	59.716599190283404
28500	61.65413533834586
60500	58.223684210526315
7000	60.526315789473685
39000	59.73684210526316
17500	65.13157894736842
49500	59.716599190283404
28000	61.65413533834586
60000	58.223684210526315
6500	60.526315789473685
38500	59.73684210526316
17000	65.13157894736842
49000	59.716599190283404
27500	61.65413533834586
59500	58.223684210526315
6000	60.526315789473685
38000	59.73684210526316
16500	65.13157894736842
48500	59.716599190283404
27000	61.65413533834586
59000	54.93421052631579
5500	60.526315789473685
37500	58.94736842105262
16000	65.13157894736842
48000	56.477732793522264
26500	59.3984962406015
58500	54.93421052631579
5000	60.526315789473685
37000	54.736842105263165
15500	61.8421052631579
47500	58.99122807017544
26000	53.00751879699248
58000	58.59649122807018
4500	26.31578947368421
36500	59.06432748538012
15000	48.68421052631579
47000	58.99122807017544
25500	61.40350877192983
57500	58.59649122807018
4000	0.0
36000	59.06432748538012
14500	64.91228070175438
46500	58.99122807017544
25000	61.40350877192983
57000	58.59649122807018
3500	NaN
35500	59.06432748538012
14000	64.91228070175438
46000	58.99122807017544
24500	61.40350877192983
56500	58.59649122807018
3000	NaN
35000	59.06432748538012
13500	64.91228070175438
45500	58.99122807017544
24000	61.40350877192983
56000	58.59649122807018
2500	NaN
34500	59.06432748538012
13000	64.91228070175438
45000	58.99122807017544
23500	61.40350877192983
55500	57.36842105263158
2000	NaN
34000	57.89473684210527
12500	64.91228070175438
44500	57.675438596491226
23000	60.96491228070175
55000	55.43859649122807
1500	NaN
33500	53.216374269005854
65500	58.204334365325074
12000	63.1578947368421
44000	55.48245614035088
22500	55.70175438596491
54500	59.3984962406015
1000	NaN
33000	52.046783625730995
65000	58.204334365325074
11500	49.122807017543856
43500	60.526315789473685
22000	51.31578947368421
54000	59.3984962406015
500	NaN
32500	58.55263157894737
64500	58.204334365325074
11000	63.1578947368421
43000	60.526315789473685
21500	61.578947368421055
53500	59.3984962406015

