Contact	NrofDelivered
32000	78.94736842105263
64000	76.78018575851394
10500	80.26315789473685
42500	79.66507177033493
21000	74.73684210526315
53000	77.44360902255639
31500	78.94736842105263
63500	76.78018575851394
10000	80.26315789473685
42000	79.66507177033493
20500	74.73684210526315
52500	77.44360902255639
31000	78.94736842105263
63000	75.69659442724458
9500	80.26315789473685
41500	79.66507177033493
20000	74.73684210526315
52000	77.44360902255639
30500	78.94736842105263
62500	72.75541795665634
9000	80.26315789473685
41000	76.07655502392345
19500	74.73684210526315
51500	73.49624060150376
30000	73.35526315789474
62000	76.31578947368422
8500	77.63157894736842
40500	72.00956937799043
19000	69.47368421052632
51000	77.7327935222672
29500	69.73684210526315
61500	76.31578947368422
8000	60.526315789473685
40000	78.94736842105263
18500	67.36842105263158
50500	77.7327935222672
29000	78.94736842105263
61000	76.31578947368422
7500	42.10526315789473
39500	78.94736842105263
18000	77.63157894736842
50000	77.7327935222672
28500	78.94736842105263
60500	76.31578947368422
7000	84.21052631578947
39000	78.94736842105263
17500	77.63157894736842
49500	77.7327935222672
28000	78.94736842105263
60000	76.31578947368422
6500	84.21052631578947
38500	78.94736842105263
17000	77.63157894736842
49000	77.7327935222672
27500	78.94736842105263
59500	76.31578947368422
6000	84.21052631578947
38000	78.94736842105263
16500	77.63157894736842
48500	77.7327935222672
27000	78.94736842105263
59000	71.71052631578947
5500	84.21052631578947
37500	77.89473684210526
16000	77.63157894736842
48000	74.2914979757085
26500	76.31578947368422
58500	71.71052631578947
5000	84.21052631578947
37000	73.42105263157895
15500	72.36842105263158
47500	78.0701754385965
26000	65.41353383458647
58000	76.49122807017544
4500	50.0
36500	79.82456140350878
15000	58.55263157894737
47000	78.0701754385965
25500	75.87719298245614
57500	76.49122807017544
4000	0.0
36000	79.82456140350878
14500	78.0701754385965
46500	78.0701754385965
25000	75.87719298245614
57000	76.49122807017544
3500	NaN
35500	79.82456140350878
14000	78.0701754385965
46000	78.0701754385965
24500	75.87719298245614
56500	76.49122807017544
3000	NaN
35000	79.82456140350878
13500	78.0701754385965
45500	78.0701754385965
24000	75.87719298245614
56000	76.49122807017544
2500	NaN
34500	79.82456140350878
13000	78.0701754385965
45000	78.0701754385965
23500	75.87719298245614
55500	74.91228070175438
2000	NaN
34000	78.3625730994152
12500	78.0701754385965
44500	75.21929824561403
23000	75.87719298245614
55000	72.28070175438597
1500	NaN
33500	71.05263157894737
65500	76.78018575851394
12000	78.0701754385965
44000	73.02631578947368
22500	67.54385964912281
54500	77.44360902255639
1000	NaN
33000	70.17543859649122
65000	76.78018575851394
11500	59.64912280701754
43500	79.66507177033493
22000	62.28070175438597
54000	77.44360902255639
500	NaN
32500	78.94736842105263
64500	76.78018575851394
11000	80.26315789473685
43000	79.66507177033493
21500	74.73684210526315
53500	77.44360902255639

