Contact	Overhead
32000	51.96629213483146
64000	50.005319148936174
10500	45.854166666666664
42500	49.03162055335969
21000	48.034188034188034
53000	49.642405063291136
31500	51.96629213483146
63500	50.005319148936174
10000	45.854166666666664
42000	49.03162055335969
20500	48.034188034188034
52500	49.642405063291136
31000	51.96629213483146
63000	50.01072386058981
9500	45.854166666666664
41500	49.03162055335969
20000	48.034188034188034
52000	49.022222222222226
30500	51.96629213483146
62500	50.460893854748605
9000	45.854166666666664
41000	49.47325102880659
19500	48.034188034188034
51500	49.35333333333333
30000	52.44117647058823
62000	50.37005649717514
8500	46.41304347826087
40500	50.49122807017544
19000	47.5045045045045
51000	49.26779661016949
29500	49.69277108433735
61500	50.37005649717514
8000	54.41935483870968
40000	50.20704845814978
18500	42.67289719626168
50500	49.26779661016949
29000	49.140243902439025
61000	50.37005649717514
7500	48.43478260869565
39500	50.20704845814978
18000	44.76767676767677
50000	49.26779661016949
28500	49.140243902439025
60500	50.37005649717514
7000	46.21739130434783
39000	50.20704845814978
17500	44.76767676767677
49500	49.26779661016949
28000	49.140243902439025
60000	50.37005649717514
6500	46.21739130434783
38500	50.20704845814978
17000	44.76767676767677
49000	49.26779661016949
27500	49.140243902439025
59500	50.03954802259887
6000	46.21739130434783
38000	50.20704845814978
16500	44.76767676767677
48500	48.82372881355932
27000	49.140243902439025
59000	51.33233532934132
5500	46.21739130434783
37500	49.92857142857143
16000	44.76767676767677
48000	49.584229390681
26500	49.25949367088607
58500	49.9311377245509
5000	46.21739130434783
37000	50.89903846153846
15500	44.734042553191486
47500	50.1449814126394
26000	50.56737588652482
58000	49.883233532934135
4500	68.8
36500	51.18811881188119
15000	48.63513513513514
47000	50.1449814126394
25500	49.22142857142857
57500	49.883233532934135
4000	NaN
36000	51.18811881188119
14500	45.82432432432432
46500	50.1449814126394
25000	49.22142857142857
57000	49.883233532934135
3500	NaN
35500	51.18811881188119
14000	45.82432432432432
46000	50.1449814126394
24500	49.22142857142857
56500	49.883233532934135
3000	NaN
35000	51.18811881188119
13500	45.82432432432432
45500	50.1449814126394
24000	49.22142857142857
56000	49.883233532934135
2500	NaN
34500	51.18811881188119
13000	45.82432432432432
45000	50.026022304832715
23500	49.22142857142857
55500	49.69724770642202
2000	NaN
34000	51.92424242424242
12500	45.82432432432432
44500	49.250950570342205
23000	48.719424460431654
55000	49.82911392405063
1500	NaN
33500	53.60989010989011
65500	50.005319148936174
12000	45.138888888888886
44000	49.15415019762846
22500	48.67716535433071
54500	49.642405063291136
1000	NaN
33000	52.07865168539326
65000	50.005319148936174
11500	46.410714285714285
43500	49.03162055335969
22000	48.38461538461539
54000	49.642405063291136
500	NaN
32500	51.96629213483146
64500	50.005319148936174
11000	45.854166666666664
43000	49.03162055335969
21500	48.034188034188034
53500	49.642405063291136

