Message ID 	 Maximum Delay
M23	394.2999999974627
M28	394.5999999974624
M21	625.3999999978405
M5	625.8999999978423
M6	626.4999999978445
M7	627.0999999978467
M30	627.5999999978485
M11	627.7999999978492
M10	628.1999999978507
M24	628.6999999978525
M35	629.2999999978547
M13	629.8999999978569
M34	630.199999997858
M15	630.7999999978601
M14	631.4999999978627
M16	632.0999999978649
M19	641.9999999979009
M18	642.299999997902
M20	654.9999999979482
M38	814.4999999985284
M22	814.9999999985303
M17	815.4999999985321
M27	815.9999999985339
M31	818.5999999985434
M26	822.6999999985583
M37	825.9999999985703
M8	1093.399999999543
M2	1093.6999999995442
M29	1094.0999999995456
M4	1094.3999999995467
M3	1094.6999999995478
M9	1094.8999999995485
M61	148.00000000920045
M72	157.0000000092332
M75	209.90000000942564
M62	210.10000000942637
M45	210.8000000094289
M69	211.4000000094311
M51	212.00000000943328
M48	212.200000009434
M49	222.7000000094722
M57	421.50000001019544
M60	423.90000001020417
M66	424.1000000102049
M53	424.400000010206
M52	425.00000001020817
M44	728.3000000113116
M43	729.0000000113141
M74	731.4000000113228
M58	732.000000011325
M73	733.0000000113287
M47	733.4000000113301
M68	734.0000000113323
M59	734.5000000113341
M54	734.7000000113349
M55	838.6000000117128
M56	838.8000000117136
M67	910.7000000119751
M39	1041.800000012452
M65	1144.1000000128242
M76	1144.5000000128257
M94	287.1000000228032
M99	287.80000002280576
M97	288.10000002280685
M103	288.6000000228087
M91	289.20000002281085
M112	293.8000000228276
M114	297.80000002284214
M98	451.5000000234013
M90	452.1000000234035
M108	452.70000002340566
M83	453.00000002340676
M93	453.5000000234086
M92	453.80000002340967
M100	454.5000000234122
M82	455.20000002341476
M89	537.6000000237145
M109	860.8000000248903
M96	861.2000000248918
M105	861.4000000248925
M88	861.7000000248936
M87	862.3000000248958
M104	863.3000000248994
M85	863.8000000249012
M86	864.000000024902
M111	864.4000000249034
M95	894.7000000250137
M113	898.3000000250267
M110	898.6000000250278
M137	401.40000003631576
M131	518.5000000367418
M130	518.8000000367429
M135	519.5000000367454
M145	521.1000000367512
M119	521.600000036753
M142	624.0000000371256
M121	624.3000000371267
M144	624.9000000371288
M149	625.2000000371299
M129	625.500000037131
M134	626.1000000371332
M120	626.7000000371354
M138	627.2000000371372
M141	627.6000000371387
M122	628.0000000371401
M150	628.7000000371427
M118	630.9000000371507
M148	639.7000000371827
M132	648.7000000372154
M124	660.8000000372595
M152	1043.9000000386532
M147	1044.3000000386546
M117	1044.700000038656
M125	1045.4000000386586
M126	1104.2000000388725
M133	1104.8000000388747
M128	1107.5000000388845
M140	1108.200000038887
M175	120.60000001680237
M167	121.20000001679364
M179	257.60000001480876
M171	258.00000001480294
M163	258.30000001479857
M174	258.8000000147913
M159	264.30000001471126
M154	267.20000001466906
M173	267.60000001466324
M162	268.0000000146574
M169	472.10000001168737
M176	501.6000000112581
M187	502.00000001125227
M165	502.7000000112421
M158	938.1000000049062
M178	1133.7000000020598
M183	1134.0000000020555
M164	1134.2000000020525
M190	1134.9000000020424
M185	1138.0000000019973
M157	1138.6000000019885
M170	1138.9000000019842
M184	1139.4000000019769
M182	1139.800000001971
M213	135.5999999641972
M218	136.19999996418846
M209	136.59999996418264
M211	149.79999996399056
M219	374.3999999607222
M208	374.69999996071783
M207	375.2999999607091
M217	414.69999996013576
M196	491.3999999590196
M198	491.89999995901235
M199	492.2999999590065
M212	492.8999999589978
M214	719.3999999557018
M210	719.8999999556945
M197	720.7999999556814
M195	721.2999999556741
M202	721.8999999556654
M200	722.199999955661
M204	722.7999999556523
M201	723.8999999556363
M203	727.3999999555854
M227	727.7999999555796
M221	728.2999999555723
M225	752.0999999552259
M206	752.6999999552172
M220	753.1999999552099
M193	753.6999999552027
M223	753.8999999551997
M205	901.1999999530562
M228	912.1999999528962
M224	1021.9999999512984
M251	180.49999991115692
M264	481.6999999067739
M244	482.1999999067666
M252	482.5999999067608
M255	483.0999999067535
M236	483.7999999067433
M233	484.3999999067346
M263	493.3999999066036
M261	493.89999990659635
M237	496.6999999065556
M249	517.3999999062544
M257	517.69999990625
M259	517.9999999062456
M250	518.5999999062369
M260	518.8999999062326
M239	519.0999999062296
M243	519.4999999062238
M235	524.7999999061467
M242	526.9999999061147
M248	527.3999999061089
M229	528.2999999060958
M254	699.0999999036103
M245	731.5999999031374
M262	731.899999903133
M246	732.5999999031228
M247	732.8999999031184
M256	733.0999999031155
M258	733.2999999031126
M234	741.999999902986
M253	744.6999999029467
M238	1016.5999998989901
M241	1024.099999898881
M265	1024.3999998988766
M266	1059.9999998983585
M231	1060.1999998983556
M232	1060.5999998983498
M230	1061.0999998983425
M288	61.4999998605017
M289	104.39999985987743
M282	436.6999998550418
M273	437.2999998550331
M285	437.9999998550229
M281	438.6999998550127
M299	439.19999985500544
M301	439.7999998549967
M284	440.1999998549909
M300	440.79999985498216
M295	441.2999998549749
M276	441.7999998549676
M283	738.1999998506544
M290	738.6999998506471
M297	1080.2999998456762
M286	1080.5999998456718
M271	1081.1999998456631
M268	1081.5999998456573
M267	1081.7999998456544
M270	1081.9999998456515
M277	1082.6999998456413
M280	1083.0999998456355
M279	1083.4999998456296
M296	1083.9999998456224
M294	1084.5999998456136
M272	1084.8999998456093
M293	1085.0999998456064
M275	1085.4999998456005
M291	1085.6999998455976
M292	1090.1999998455321
M325	211.8999998059262
M317	494.9999998018102
M322	495.59999980180146
M312	736.0999997983017
M330	736.4999997982959
M333	736.9999997982886
M311	737.3999997982828
M335	737.8999997982755
M332	738.3999997982683
M313	739.0999997982581
M341	739.3999997982537
M316	739.999999798245
M334	740.6999997982348
M318	740.9999997982304
M323	805.899999797286
M319	806.3999997972787
M339	806.8999997972714
M321	807.3999997972642
M338	807.9999997972554
M327	808.4999997972482
M328	808.6999997972453
M305	974.6999997948296
M326	975.1999997948224
M340	975.8999997948122
M310	976.3999997948049
M314	976.6999997948005
M309	977.2999997947918
M306	988.899999794623
M307	1112.599999792823
M337	1112.999999792817
M331	1113.3999997928113
M342	1123.1999997926687
M336	1123.4999997926643
M363	224.4999997533596
M348	331.399999751804
M362	331.6999997517996
M355	332.19999975179235
M370	332.69999975178507
M365	394.3999997508872
M377	570.8999997483188
M366	571.3999997483115
M350	572.7999997482912
M372	573.0999997482868
M353	573.3999997482824
M359	573.7999997482766
M379	574.2999997482693
M369	574.8999997482606
M347	713.5999997462422
M357	713.8999997462379
M364	720.9999997461346
M358	764.6999997454986
M360	765.1999997454914
M374	765.499999745487
M376	766.0999997454783
M349	766.4999997454725
M371	767.0999997454637
M352	972.0999997424806
M367	972.2999997424777
M361	987.0999997422623
M356	1069.999999741056
M403	127.69999970238132
M399	308.3999996997518
M402	349.8999996991479
M395	350.5999996991377
M394	350.9999996991319
M393	383.3999996986604
M400	393.29999969851633
M407	483.9999996971965
M414	484.59999969718774
M408	485.09999969718046
M409	485.49999969717464
M391	486.0999996971659
M401	507.4999996968545
M396	685.7999996942599
M389	686.1999996942541
M410	691.499999694177
M388	691.8999996941711
M404	692.4999996941624
M417	1142.6999996876111
M411	1142.9999996876068
M413	1143.599999687598
M397	1144.2999996875878
M386	1144.9999996875777
M381	1145.3999996875718
M416	1145.6999996875675
M390	1146.2999996875587
M385	1146.5999996875544
M384	1146.89999968755
M418	1147.2999996875442
M415	1147.4999996875413
M405	1152.7999996874642
M382	1153.0999996874598
M383	1179.6999996870727
M440	214.29999964873423
M432	224.89999964857998
M439	321.2999996471772
M433	321.7999996471699
M423	331.7999996470244
M448	332.89999964700837
M425	333.199999647004
M441	333.3999996470011
M436	486.8999996447674
M435	487.3999996447601
M431	974.5999996376704
M456	974.7999996376675
M437	975.3999996376588
M452	976.0999996376486
M427	976.3999996376442
M429	976.8999996376369
M445	977.5999996376268
M426	978.0999996376195
M430	978.4999996376137
M454	978.7999996376093
M455	979.1999996376035
M451	979.6999996375962
M421	979.8999996375933
M479	151.09999959726701
M490	165.29999959706038
M483	234.2999995960563
M477	234.79999959604902
M493	235.49999959603883
M487	235.79999959603447
M486	236.39999959602574
M480	256.99999959572597
M465	266.09999959559354
M467	325.1999995947335
M471	325.7999995947248
M472	750.0999995885504
M473	750.4999995885446
M476	751.0999995885359
M469	833.2999995873397
M491	833.899999587331
M485	844.5999995871753
