Message ID 	 Delay
M822	990.90
M815	991.80
M811	992.20
M809	1104.90
M805	1105.10
M808	1105.50
M825	1105.80
M828	1106.50
M859	280.10
M860	500.30
M865	758.30
M853	758.90
M856	759.30
M858	759.60
M850	760.30
M857	761.00
M854	761.20
M851	761.50
M852	761.90
M871	762.40
M870	762.70
M849	979.90
M864	983.10
M855	983.50
M896	163.20
M897	214.80
M894	420.80
M895	421.00
M903	518.50
M893	519.00
M892	661.40
M891	662.10
M898	1049.40
M887	1049.70
M885	1050.20
M935	144.80
M933	259.70
M934	260.20
M936	545.40
M929	580.30
M930	580.80
M928	592.30
M941	595.70
M926	596.20
M940	596.90
M932	597.60
M931	598.00
M925	691.20
M927	792.50
M947	793.00
M946	910.90
M923	1025.50
M921	1039.60
M942	1040.20
M943	1040.80
M973	300.10
M968	729.70
M963	730.20
M967	730.80
M979	731.10
M960	731.50
M974	966.80
M970	967.50
M962	967.90
M984	968.50
M977	968.70
M961	969.30
M966	970.00
M964	978.30
M971	981.60
M972	982.10
M969	982.60
M978	983.30
M987	1065.70
M965	1066.30
M959	1067.00
M980	1067.60
M985	1067.90
M1010	187.70
M1009	408.80
M1008	409.20
M1011	452.40
M1001	453.00
M1016	607.90
M1004	608.40
M1003	609.00
M1017	609.40
M1012	636.70
M1022	841.70
M1007	842.30
M1023	842.70
M999	876.50
M1006	876.80
M1005	877.20
M994	1112.90
M1002	1113.20
M1024	1113.90
M998	1114.50
M1018	1115.10
M995	1115.30
M997	1116.00
M1000	1116.30
M1015	1116.80
M1049	116.10
M1047	315.50
M1048	315.80
M1060	573.40
M1046	573.80
M1041	574.00
M1045	574.50
M1044	575.00
M1055	575.30
M1043	602.80
M1042	877.50
M1061	877.70
M1054	878.10
M1040	878.30
M1039	1004.30
M1036	1004.90
M1056	1005.30
M1037	1005.90
M1035	1006.40
M1053	1006.60
M1086	219.70
M1087	270.40
M1093	400.50
M1085	400.80
M1084	401.40
M1082	402.10
M1092	636.10
M1080	636.60
M1083	636.80
M1098	637.40
M1088	689.00
M1077	689.50
M1081	754.70
M1091	755.30
M1074	755.70
M1079	756.00
M1078	992.90
M1099	993.10
M1115	416.50
M1125	416.80
M1119	681.80
M1118	682.20
M1117	682.70
M1131	683.00
M1120	683.40
M1122	684.10
M1116	684.50
M1123	684.80
M1124	685.40
M1137	815.20
M1130	883.60
M1121	883.80
M1136	884.50
M1126	898.60
M1111	1047.10
M1139	1047.50
M1132	1047.80
M1133	1048.30
M1161	224.80
M1162	225.30
M1160	442.20
M1158	576.10
M1153	576.40
M1156	576.90
M1157	577.30
M1154	577.60
M1168	578.20
M1159	578.90
M1169	579.60
M1164	580.30
M1151	580.70
M1163	581.30
M1155	796.10
M1175	796.30
M1149	1064.10
M1174	1064.70
M1150	1065.20
M1167	1065.60
M1170	1066.20
M1152	1066.80
M1199	325.30
M1196	326.00
M1200	326.30
M1198	487.30
M1206	487.50
M1201	497.60
M1202	498.90
M1207	627.20
M1194	627.90
M1193	628.30
M1192	628.70
M1212	628.90
M1197	679.70
M1191	726.70
M1195	729.20
M1213	866.30
M1237	249.00
M1238	249.30
M1236	608.30
M1234	608.50
M1233	608.90
M1230	609.40
M1244	609.70
M1232	610.00
M1245	610.50
M1250	611.10
M1231	611.30
M1240	820.30
M1229	820.70
M1239	821.40
M1235	1037.80
M1247	1038.50
M1251	1038.80
M1277	223.20
M1275	249.20
M1276	249.70
M1274	440.50
M1278	544.20
M1269	666.20
M1271	666.70
M1288	667.30
M1268	667.80
M1289	668.10
M1270	668.80
M1282	669.10
M1283	669.30
M1267	669.60
M1273	670.00
M1272	670.20
M1281	1057.10
M1265	1057.80
M1315	153.50
M1314	391.60
M1312	391.90
M1313	392.40
M1310	392.80
M1321	393.30
M1311	640.70
M1326	641.10
M1320	641.30
M1306	833.20
M1307	833.40
M1308	833.80
M1327	834.50
M1316	886.50
M1305	887.20
M1303	887.90
M1302	1101.40
M1299	1101.70
M1329	1104.40
M1323	1105.10
M1319	1105.70
M1322	1106.40
M1309	1106.70
M1301	1107.30
M1304	1107.90
