Contact	Overhead
64000	203.69447708578144
128000	208.07947805456703
42500	203.30685920577616
106500	203.99090272918124
21000	203.007722007722
85000	202.63429571303587
63500	202.0023501762632
127500	207.79250891795482
42000	203.19890510948906
106000	203.2156862745098
20500	202.3675889328063
84500	201.97808939526732
63000	202.34004739336493
127000	208.23818073010173
41500	203.3579335793358
105500	204.36756373937678
20000	198.72
84000	202.44297082228115
62500	204.8428053204353
126500	208.5799278846154
41000	204.7758945386064
105000	203.53437278525868
19500	203.88983050847457
83500	202.44661921708186
62000	204.22843256379102
126000	207.70192307692307
40500	202.52730696798494
104500	204.05349500713265
19000	203.80869565217392
83000	202.34078711985688
61500	204.56073619631903
125500	207.58710066305002
40000	205.25
104000	204.30222541277817
18500	201.88
82500	202.13938848920864
61000	203.15744157441574
125000	208.0539393939394
39500	204.34050880626222
103500	204.12752161383284
18000	200.36818181818182
82000	202.39583333333334
60500	202.26387176325525
124500	207.6838905775076
39000	205.762
103000	203.9645184648805
17500	199.6448598130841
81500	201.6609090909091
60000	205.87182741116752
124000	208.01955990220048
38500	207.6987704918033
102500	203.864
17000	195.12735849056602
81000	202.38842975206612
59500	204.12563451776649
123500	207.46478873239437
38000	206.3127572016461
102000	203.27312454479244
16500	197.63235294117646
80500	201.85543278084714
59000	204.3294871794872
123000	206.7026364193746
37500	208.1818181818182
101500	203.13094367227507
16000	202.72395833333334
80000	201.79944289693594
58500	204.9390402075227
122500	206.7513846153846
37000	206.90618336886993
101000	203.722918201916
15500	203.80978260869566
79500	202.30711610486892
58000	206.09055118110237
122000	208.1008089607965
36500	205.56652360515022
100500	204.90387481371087
15000	198.57142857142858
79000	204.29686013320648
57500	208.2623828647925
121500	207.32109520846296
36000	210.8724832214765
100000	204.69184741959612
14500	200.2543352601156
78500	204.2133971291866
57000	207.51478494623655
121000	207.0417966313163
35500	208.2013422818792
99500	203.7801047120419
14000	200.82634730538922
78000	203.19157088122606
56500	206.06873315363882
120500	207.4268675455116
35000	205.22869955156952
99000	203.4778362133734
13500	202.42767295597486
77500	201.7574304889741
56000	204.45810810810812
120000	207.53434152488973
34500	207.27586206896552
98500	203.3366037735849
13000	197.05769230769232
77000	202.75945683802135
55500	204.19455782312926
119500	207.45316455696204
34000	204.7621247113164
98000	202.84178652535957
12500	196.94666666666666
76500	201.29873908826383
55000	204.05089408528198
119000	207.28190476190477
33500	204.7699530516432
97500	202.89802130898022
12000	198.17730496453902
76000	200.12027158098934
54500	204.45961002785515
118500	207.60575079872206
33000	204.94299287410925
97000	202.60687022900763
11500	194.3913043478261
75500	200.3046875
54000	202.88981868898188
118000	207.62556197816315
32500	202.52267303102624
96500	202.7058371735791
11000	198.65116279069767
75000	200.07866273353
53500	204.17446808510638
117500	207.23423423423424
32000	203.9219512195122
96000	202.30893682588598
10500	194.55645161290323
74500	202.82264529058116
53000	203.2130681818182
117000	206.2466194462331
31500	207.8
95500	202.78200155159038
10000	186.4878048780488
74000	203.4331983805668
52500	209.10930576070902
116500	206.372574385511
31000	204.21772151898733
95000	202.82761310452418
9500	207.96116504854368
73500	202.3181357649443
52000	207.09305760709012
116000	206.2680077871512
30500	204.0848329048843
94500	203.02351097178683
9000	194.70873786407768
73000	201.61218274111675
51500	205.3846153846154
115500	206.58942558746736
30000	205.1952506596306
94000	202.6708661417323
8500	189.25510204081633
72500	202.07889344262296
136500	207.96230598669624
51000	206.33183183183183
115000	206.7018348623853
29500	203.8048128342246
93500	202.98493259318002
8000	199.42857142857142
72000	201.81687242798353
136000	208.4121583937535
50500	207.85801526717557
114500	207.31836195508586
29000	205.17534246575343
93000	203.7413931144916
7500	203.74666666666667
71500	203.08854166666666
135500	207.73158482142858
50000	205.35725190839693
114000	206.46169088507264
28500	200.06027397260274
92500	202.52201761409128
7000	196.14492753623188
71000	202.69738219895288
135000	208.45193929173692
49500	204.9553158705701
113500	205.59180977542934
28000	201.27170868347338
92000	201.84362469927828
6500	200.68852459016392
70500	201.77544596012592
134500	208.73261729790843
49000	202.58705701078583
113000	205.56972111553785
27500	200.0909090909091
91500	201.32689210950082
6000	185.1551724137931
70000	202.68297872340426
134000	208.3431483578709
48500	204.43553459119497
112500	205.76902536715622
27000	196.49147727272728
91000	201.43192868719612
5500	177.84615384615384
69500	202.63344051446944
133500	208.2346590909091
48000	204.40952380952382
112000	205.4715338245144
26500	198.8450292397661
90500	202.02289452166804
5000	198.7
