Message ID 	 Delay
M977	888.80
M961	889.40
M1012	486.60
M1001	855.40
M1017	977.20
M1007	977.80
M1039	378.20
M1004	978.70
M1003	979.30
M1022	979.90
M1005	980.30
M1002	980.60
M1006	980.90
M1009	984.10
M1016	984.80
M1046	385.20
M1023	985.60
M997	986.30
M1008	986.70
M1018	987.30
M1048	387.60
M1047	388.30
M1042	567.20
M1045	567.70
M1054	568.10
M1060	807.70
M1086	208.20
M1061	808.40
M1041	808.60
M1087	332.90
M1050	933.60
M1055	959.40
M1036	960.00
M1044	960.50
M1040	960.70
M1037	961.30
M1053	961.50
M1043	961.90
M1035	987.60
M1085	391.10
M1057	991.60
M1082	392.30
M1083	635.40
M1092	636.10
M1077	817.00
M1091	817.60
M1093	818.10
M1088	818.30
M1125	218.60
M1081	819.30
M1080	919.10
M1123	319.40
M1079	919.70
M1099	919.90
M1101	920.20
M1124	320.80
M1094	1056.90
M1073	1057.40
M1120	496.70
M1119	497.00
M1074	1097.40
M1122	498.10
M1070	1098.70
M1071	1099.10
M1131	499.40
M1118	499.80
M1126	612.40
M1137	796.80
M1162	197.30
M1130	797.80
M1117	798.30
M1115	869.70
M1112	1108.40
M1133	1108.90
M1161	509.30
M1121	1109.50
M1160	510.20
M1136	1110.90
M1168	511.50
M1129	1111.80
M1109	1144.50
M1153	544.80
M1108	1145.30
M1114	1146.00
M1157	546.40
M1111	1147.10
M1151	547.50
M1175	974.90
M1156	975.40
M1200	375.70
M1174	976.30
M1171	976.60
M1176	977.20
M1198	377.70
M1154	978.00
M1149	978.50
M1159	979.20
M1207	379.50
M1150	1120.20
M1147	1120.40
M1164	1121.00
M1152	1121.60
M1191	522.00
M1167	1122.40
M1201	714.30
M1202	714.60
M1206	754.30
M1197	754.90
M1238	155.20
M1239	254.50
M1213	965.00
M1189	965.40
M1194	966.10
M1212	966.30
M1195	966.80
M1235	513.20
M1236	513.50
M1193	1113.90
M1237	514.40
M1187	1114.90
M1245	515.40
M1244	515.70
M1192	1116.10
M1208	1116.70
M1240	588.60
M1234	624.50
M1231	783.90
M1251	784.20
M1276	184.70
M1229	905.30
M1227	905.90
M1277	306.30
M1274	366.60
M1252	967.00
M1275	367.20
M1233	1058.50
M1225	1122.50
M1247	1123.20
M1246	1123.50
M1222	1124.10
M1273	524.50
M1223	1125.20
M1250	1125.80
M1282	604.70
M1270	605.40
M1272	605.60
M1283	605.80
M1271	606.30
M1278	705.30
M1315	105.80
M1267	706.10
M1321	666.60
M1305	667.30
M1310	667.70
M1306	718.10
M1327	718.80
M1308	719.20
M1307	719.40
M1320	719.60
M1312	719.90
M1326	720.30
M1313	720.80
M1314	721.10
M1351	298.40
M1311	899.00
M1319	1123.30
M1322	1124.00
M1316	1124.30
M1302	1124.70
M1343	525.00
M1329	1125.60
M1299	1125.90
M1358	587.40
M1359	587.60
M1347	588.10
M1350	588.30
M1346	588.60
M1345	589.10
M1354	667.60
M1353	667.80
M1391	173.40
M1390	300.60
M1386	300.80
M1389	301.20
M1365	901.40
M1349	901.60
M1397	664.30
M1396	664.60
M1402	665.20
M1388	665.60
M1387	665.80
M1383	666.20
M1403	777.70
M1428	178.40
M1384	778.80
M1392	856.20
M1381	856.70
M1378	857.10
M1429	257.60
M1427	326.50
M1426	384.40
M1398	984.80
M1434	385.30
M1377	985.50
M1405	985.80
M1424	668.80
M1440	669.10
M1425	669.60
M1441	670.10
M1430	759.70
M1467	160.30
M1462	587.20
M1472	587.90
M1461	588.60
M1463	589.20
M1473	589.80
M1465	590.20
M1460	590.70
M1468	644.80
M1457	669.50
M1478	779.20
M1459	779.90
M1504	180.60
M1479	781.20
M1503	242.80
M1455	929.50
M1471	929.80
M1454	930.20
M1458	930.80
M1502	402.80
M1511	403.20
M1464	1003.60
M1506	549.40
M1496	1003.80
M1495	1004.00
M1493	1004.50
M1497	1004.80
M1500	1005.20
M1516	1005.50
M1494	1005.70
M1498	1006.40
M1543	406.70
M1501	1007.10
M1499	1007.80
M1517	1008.40
M1492	1022.50
M1549	423.00
M1542	423.30
M1483	1024.00
M1510	1024.60
M1540	425.20
M1513	1025.70
M1509	1026.20
M1548	426.80
M1512	1027.30
M1541	428.00
M1544	492.80
M1507	1093.00
M1519	1129.80
M1536	530.40
M1580	126.40
M1554	797.30
M1539	797.70
M1531	990.40
M1547	990.90
M1530	991.40
M1581	391.60
M1550	1000.80
M1579	401.20
M1551	1001.50
M1576	402.20
M1526	1002.70
M1555	1002.90
M1578	448.40
M1571	713.10
M1582	713.70
M1586	727.30
M1592	727.70
M1573	727.90
M1572	728.10
M1577	798.20
M1569	825.50
M1619	225.90
M1585	1081.70
M1609	481.90
M1565	1082.50
M1564	1082.80
M1574	1083.40
M1593	1084.00
M1588	1084.70
M1567	1085.10
M1614	595.40
M1617	596.00
M1625	596.50
M1618	597.20
M1616	597.40
M1631	796.00
M1656	196.50
M1651	566.40
M1647	566.70
M1658	846.70
M1695	247.20
M1657	847.50
M1663	1007.30
M1693	407.60
M1650	1008.10
M1694	408.40
M1690	408.60
M1669	1009.20
M1665	1009.40
M1653	1009.90
M1671	1010.30
M1643	1010.70
M1670	1011.40
M1648	1011.80
M1701	412.30
M1652	1012.70
M1664	1013.10
M1645	1142.10
M1640	1142.50
M1641	1142.90
M1661	1143.20
M1644	1143.50
M1688	558.00
M1691	558.40
M1733	96.50
M1696	697.00
M1732	208.20
M1706	808.50
M1692	808.80
M1700	809.30
M1687	809.60
M1731	209.90
M1699	982.70
M1685	983.30
M1683	983.60
M1730	578.40
M1726	579.10
M1729	579.70
M1739	580.30
M1738	580.70
M1728	581.10
M1734	608.80
M1727	634.50
M1744	919.80
M1770	320.00
M1745	920.30
M1769	320.60
M1725	921.00
M1768	534.80
M1765	535.40
M1741	1135.90
M1719	1136.10
M1737	1136.40
M1717	1136.80
M1716	1137.10
M1766	537.70
M1764	538.10
M1777	538.70
M1724	1138.90
M1740	1139.40
M1776	539.80
M1747	1140.30
M1721	1144.90
M1771	545.20
M1772	545.90
M1723	1146.10
M1761	724.50
M1809	124.70
M1808	199.40
M1763	799.90
M1778	1122.50
M1758	1122.80
M1803	523.30
M1804	524.00
M1806	524.30
M1807	524.60
M1779	1125.30
M1782	1125.70
M1797	696.40
M1796	697.10
M1810	697.40
M1847	183.70
M1795	1010.10
M1853	410.60
M1802	1010.80
M1816	1011.10
M1845	411.30
M1820	1011.60
M1846	412.10
M1852	412.40
M1801	1012.70
M1814	1013.30
M1821	1013.80
M1805	1014.40
M1813	1132.30
M1792	1133.00
M1798	1133.50
M1841	533.70
M1837	533.90
M1844	607.60
M1858	692.00
M1839	692.50
M1843	692.90
M1884	93.30
M1885	196.40
M1842	797.10
M1855	1060.80
M1861	1061.10
M1838	1061.70
M1854	1062.20
M1880	462.70
M1830	1063.30
M1883	463.80
M1896	705.80
M1897	706.10
M1890	706.50
M1922	107.10
M1891	707.40
M1878	708.00
M1881	708.60
M1882	709.20
M1872	891.20
M1886	891.60
M1879	892.10
M1889	892.40
M1873	892.80
M1875	893.30
M1876	986.20
M1899	986.60
M1920	387.20
M1929	387.40
M1871	987.60
M1921	388.30
M1869	1030.30
M1918	430.90
M1868	1031.30
M1924	491.50
M1917	604.60
M1934	605.00
M1960	60.90
M1913	790.10
M1961	190.70
M1911	858.50
M1910	1099.10
M1927	1099.80
M1962	500.30
M1954	686.10
M1952	686.40
M1956	686.70
M1967	687.00
M1955	687.40
M1948	687.60
M1949	688.10
M1951	688.80
M1957	726.30
M1966	726.90
M1958	727.60
M1959	728.00
M1953	728.20
M1998	342.60
M1947	943.10
M1972	943.40
M1965	943.60
M1973	943.80
M1968	944.00
M2005	344.30
M1999	589.90
M2000	590.30
M1996	604.30
M1997	604.80
M2036	214.30
M2010	814.90
M1995	815.30
M2004	815.60
M2035	317.70
M2011	918.20
M2006	918.70
M1993	1047.00
M1989	1047.60
M2037	448.20
M1987	1048.60
M2027	449.00
M1988	1049.50
M1992	1050.00
M2003	1050.20
M2042	593.60
M2033	593.80
M2034	594.00
M2029	814.40
M2030	814.80
