Message ID 	 Delay
M809	813.10
M816	813.40
M828	814.10
M830	814.70
M778	1115.30
M773	1115.50
M831	816.00
M808	816.40
M803	816.80
M863	517.50
M885	222.80
M860	523.30
M829	1021.50
M817	1022.10
M871	724.00
M845	724.40
M849	1018.30
M840	1018.90
M973	119.20
M866	1019.90
M872	1028.00
M910	728.60
M875	729.00
M874	1029.50
M837	1029.70
M858	1033.10
M850	1033.80
M854	1034.00
M909	734.50
M846	1034.90
M893	735.40
M881	746.80
M904	747.30
M895	775.60
M935	481.30
M947	481.80
M864	1138.50
M890	839.10
M911	839.40
M898	839.60
M853	1140.20
M887	840.50
M896	911.10
M905	911.50
M929	611.90
M942	612.50
M892	913.10
M883	913.50
M979	313.80
M941	614.30
M902	914.80
M903	915.30
M948	741.40
M880	1041.90
M884	1042.60
M1009	222.70
M987	523.10
M980	523.70
M946	843.90
M894	1144.50
M1004	245.00
M879	1145.70
M977	856.90
M970	857.60
M1015	558.10
M1010	558.80
M955	859.20
M971	859.80
M963	860.30
M1054	260.70
M1002	561.00
M985	861.30
M981	861.80
M1023	562.20
M952	862.50
M1034	262.90
M986	863.30
M957	863.90
M972	864.40
M1019	564.70
M996	564.90
M956	865.60
M1008	566.00
M995	566.20
M958	866.70
M1044	575.50
M1005	875.90
M997	876.60
M1017	877.00
M1018	957.60
M1084	358.20
M1025	958.40
M1088	358.60
M1039	659.00
M990	959.50
M1049	660.10
M1006	960.40
M1048	660.70
M993	961.00
M1011	961.70
M1094	362.40
M1080	362.90
M1013	1138.60
M1053	838.80
M1125	239.10
M1050	839.80
M1087	540.10
M1057	851.60
M1063	852.00
M1064	852.20
M1040	852.40
M1079	648.70
M1032	949.20
M1101	649.50
M1056	950.50
M1095	651.10
M1121	479.80
M1035	1080.30
M1045	1080.80
M1061	1081.00
M1060	1081.60
M1046	1082.00
M1136	482.70
M1092	783.40
M1099	786.60
M1130	487.10
M1102	787.50
M1129	553.30
M1091	853.90
M1075	854.40
M1076	854.60
M1086	855.10
M1093	855.60
M1110	556.20
M1126	556.70
M1137	557.10
M1090	857.40
M1118	557.80
M1133	560.00
M1089	860.20
M1069	860.50
M1085	860.80
M1156	263.70
M1140	569.10
M1077	964.10
M1081	964.80
M1119	665.10
M1194	77.70
M1107	678.40
M1111	768.60
M1072	1069.30
M1074	1069.70
M1078	1070.00
M1139	770.40
M1175	475.10
M1070	1083.10
M1155	620.90
M1164	621.50
M1117	922.00
M1108	922.50
M1122	923.20
M1131	923.50
M1115	923.80
M1123	924.10
M1177	624.50
M1124	928.10
M1163	628.70
M1109	934.60
M1147	634.80
M1116	972.60
M1162	673.10
M1120	973.50
M1225	571.70
M1197	872.30
M1274	272.60
M1207	872.90
M1231	573.10
M1212	873.30
M1198	873.80
M1200	883.30
M1213	883.60
M1201	886.10
M1240	586.50
M1189	893.80
M1215	896.60
M1291	297.00
M1211	897.60
M1195	898.10
M1206	898.30
M1208	898.90
M1246	599.20
M1243	599.60
M1244	599.90
M1188	900.40
M1185	900.70
M1227	632.80
M1192	933.20
M1193	933.60
M1245	634.10
M1232	639.30
M1233	657.40
M1186	958.00
M1315	138.20
M1277	438.60
M1276	439.60
M1298	587.30
M1272	887.50
M1285	888.00
M1283	888.20
M1263	888.50
M1307	588.70
M1326	589.10
M1292	889.60
M1318	589.80
M1264	891.60
M1259	893.90
M1297	594.40
M1255	894.60
M1366	294.80
M1338	297.80
M1345	298.30
M1361	298.70
M1289	1051.60
M1312	751.90
M1314	752.20
M1267	1052.50
M1275	1052.70
M1337	452.90
M1346	453.20
M1336	453.90
M1353	454.10
M1260	1054.40
M1317	754.60
M1271	1055.10
M1257	1055.60
M1321	756.10
M1302	756.50
M1358	457.00
M1281	1057.40
M1270	1058.10
M1284	1058.40
M1273	1058.80
M1344	459.00
M1290	1059.30
M1383	159.70
M1282	1060.00
M1269	1060.50
M1268	1061.00
M1313	761.50
M1300	761.80
M1319	762.40
M1348	529.10
M1309	837.20
M1343	537.50
M1388	560.70
M1340	860.90
M1385	561.30
M1355	861.90
M1400	562.10
M1362	863.20
M1401	563.40
M1379	573.80
M1332	874.40
M1367	875.00
M1403	575.30
M1341	875.70
M1365	875.90
M1381	576.40
M1342	894.60
M1429	295.10
M1359	895.30
M1397	595.80
M1399	598.20
M1411	298.90
M1354	910.50
M1350	910.70
M1395	611.10
M1364	911.50
M1433	314.30
M1349	1122.10
M1465	222.50
M1425	523.00
M1426	595.80
M1389	896.20
M1466	296.60
M1421	597.00
M1505	141.90
M1430	742.40
M1427	742.90
M1457	443.30
M1414	743.80
M1392	1109.30
M1416	809.70
M1473	510.30
M1474	510.70
M1386	1110.90
M1396	1111.20
M1462	511.70
M1419	925.50
M1431	925.90
M1452	626.10
M1417	926.30
M1432	926.80
M1437	927.10
M1451	627.40
M1459	632.60
M1415	933.20
M1423	933.50
M1468	633.90
M1449	636.40
M1434	936.90
M1450	637.40
M1422	1084.70
M1441	1085.20
M1463	785.80
M1444	1086.40
M1424	1087.10
M1501	487.50
M1461	788.20
M1413	1088.80
M1555	189.00
M1418	1110.10
M1455	810.50
M1543	234.20
M1535	248.30
M1504	549.00
M1548	249.60
M1577	125.60
M1481	1026.20
M1510	726.80
M1475	1027.30
M1554	427.70
M1573	141.40
M1519	977.80
M1539	678.20
M1503	978.90
M1579	379.30
M1533	688.80
M1525	689.70
M1537	690.30
M1529	692.70
M1487	993.00
M1578	621.80
M1593	622.40
M1549	922.90
M1536	923.50
M1544	923.70
M1528	928.70
M1540	929.30
M1574	640.70
M1569	738.60
M1657	138.90
M1623	453.40
M1661	153.70
M1558	1054.10
M1550	1054.70
M1522	1055.20
M1615	529.10
M1565	829.70
M1534	1130.10
M1530	1130.60
M1580	1122.60
M1619	823.00
M1610	823.60
M1582	1124.20
M1630	824.50
M1617	825.10
M1614	825.80
M1581	1126.00
M1613	826.60
M1566	1127.00
M1612	827.60
M1653	528.10
M1588	1128.80
M1606	829.20
M1563	1129.70
M1592	1130.10
M1595	1130.70
M1590	1131.20
M1587	1131.50
M1601	931.50
M1605	932.00
M1671	632.40
M1611	932.90
M1633	933.50
M1693	333.80
M1643	634.20
M1620	934.40
M1695	334.90
M1656	635.40
M1669	636.00
M1649	909.00
M1645	909.30
M1667	909.60
M1687	609.90
M1662	910.20
M1699	611.80
M1691	612.20
M1709	612.40
M1707	612.80
M1679	613.10
M1678	613.40
M1646	913.70
M1640	914.10
M1680	614.70
M1692	618.70
M1733	373.00
M1642	973.20
M1673	673.80
M1655	974.40
M1654	974.70
M1696	675.20
M1647	975.50
M1639	976.10
M1726	512.80
M1770	213.00
M1730	513.60
M1754	214.20
M1740	514.70
M1690	814.90
M1745	515.20
M1648	1115.60
M1681	816.20
M1644	1116.50
M1719	516.70
M1635	1125.50
M1731	684.60
M1739	685.20
M1727	685.70
M1694	986.00
M1701	986.50
M1725	721.20
M1724	721.40
M1765	476.30
M1703	1076.80
M1779	477.50
M1744	777.90
M1734	778.40
M1748	778.90
M1757	479.20
M1718	779.50
M1809	401.40
M1810	401.70
M1721	1002.10
M1778	702.80
M1847	103.00
M1737	1003.30
M1715	1003.80
M1802	404.00
M1771	704.30
M1735	1004.60
M1764	705.00
M1803	518.30
M1782	818.70
M1777	819.30
M1768	924.30
M1859	324.50
M1784	924.80
M1806	625.10
M1753	925.70
M1755	926.00
M1821	626.50
M1816	626.80
M1758	927.10
M1829	327.40
M1813	627.60
M1776	928.00
M1844	328.60
M1793	628.90
M1791	629.40
M1775	930.10
M1801	630.40
M1785	930.90
M1767	931.30
M1756	931.60
M1822	638.30
M1858	339.60
M1769	939.90
M1796	661.30
M1792	662.00
M1794	662.30
M1851	364.50
M1763	970.10
M1772	970.80
M1840	743.90
M1837	744.10
M1807	1044.40
M1820	1044.70
M1845	744.90
M1814	1045.50
M1892	446.20
M1923	146.60
M1805	1047.20
M1800	1047.90
M1921	204.50
M1889	504.80
M1883	505.30
M1841	805.50
M1861	805.80
M1848	806.10
M1877	507.30
M1812	1107.90
M1875	508.40
M1854	808.90
M1842	809.60
M1886	510.00
M1908	219.20
M1835	819.80
M1934	454.90
M1885	755.40
M1879	755.90
M1890	756.30
M1836	1060.50
M1912	460.70
M1826	1061.30
M1928	809.20
M1935	809.40
M1893	1109.80
M1919	810.40
M1959	510.80
M1910	1086.30
M1975	786.60
M1937	1087.20
M1955	787.60
M1927	1088.30
M1911	1089.00
M2037	189.60
M1999	489.90
M1949	790.40
M1953	790.60
M1906	1091.10
M1914	1091.80
M2003	492.00
M1902	1092.50
M1938	1092.90
M1931	1093.40
M1907	1106.80
M1932	1107.50
M1933	1107.70
M1946	808.00
M1984	508.50
M1909	1109.00
M1982	509.20
M2044	209.40
M1966	885.60
M1973	1019.60
M1967	1019.90
M1976	1020.20
M1956	1020.50
M1948	1020.70
M1972	1021.00
M1954	1021.50
M2035	421.90
M1986	722.50
M2074	122.80
M1943	1023.10
M1945	1023.60
M1960	1024.00
M2010	724.60
M1961	1025.20
M2034	425.40
M1983	725.70
M1997	726.20
M2005	726.50
M2024	427.00
M2058	127.40
M2028	433.30
M2020	433.60
M1991	792.20
M2067	192.80
M1965	1093.00
M1994	793.20
M2006	793.70
M2004	803.80
M1985	804.10
M1998	977.80
M2019	678.20
M1993	978.60
M2041	679.00
M1981	979.20
M2011	979.70
M2031	680.00
M2000	980.40
M2007	980.70
M2061	381.20
M2068	381.50
M2069	382.00
M2033	682.20
M2087	382.40
M2060	383.10
M1987	984.70
M2075	384.90
M1977	986.10
M2029	686.30
M2030	686.80
M1996	1055.80
M2113	156.40
M2032	756.80
M2023	776.70
M2109	181.50
M2062	481.70
M2016	804.50
M2066	505.00
M1995	1105.40
M2099	205.90
M1979	1116.00
M2008	1116.60
M2082	517.10
M1990	1117.60
M2038	926.00
M2051	926.30
M2085	630.40
M2039	932.50
M2105	332.80
M2125	333.80
M2027	936.30
M2115	336.70
M2036	937.40
M2114	338.00
M2072	749.60
M2042	1050.00
M2080	750.50
M2110	450.80
M2150	151.30
M2047	1051.90
M2095	452.60
M2133	152.80
M2052	1065.10
M2063	765.60
M2101	466.00
M2021	1066.50
M2049	1067.10
M2070	767.60
M2026	1067.80
M2081	768.20
M2043	1068.50
M2064	1135.10
M2153	535.80
M2076	1136.20
M2151	536.80
M2189	237.30
M2103	837.90
M2152	538.30
M2065	1138.90
M2089	1139.40
M2077	1140.10
M2071	1140.60
M2102	841.00
M2107	841.20
M2078	1141.60
M2149	544.30
M2112	844.70
M2141	631.60
M2106	932.30
M2108	932.80
M2146	633.30
M2145	660.70
M2100	960.90
M2143	661.60
M2181	374.10
M2223	74.70
M2185	376.90
M2186	377.40
M2157	677.90
M2213	420.60
M2144	1020.90
M2174	721.50
M2165	1021.80
M2138	1022.30
M2139	1022.70
M2182	723.10
M2227	423.60
M2176	724.20
M2233	424.60
M2135	1025.00
M2137	1025.30
M2155	1025.70
M2226	426.00
M2188	726.30
M2134	1026.80
M2156	1027.50
M2159	1027.80
